#SPECIALITE;CODE EPREUVE;LIBELLE EPREUVE;CODE MATIERE;LIBELLE MATIERE
ES;204;HIST.GEOG.; ;
ES;205;MATH/ECO SC S; ;
ES;206;SC.ECO.&SOC.; ;
ES;207;L.V.E. 1;0002;ANGLAIS
ES;207;L.V.E. 1;0001;ALLEMAND
ES;207;L.V.E. 1;0007;ESPAGNOL
ES;209;PHILOSOPHIE; ;
