#ANNEE SESSION;SPECIALITE;NUMERO CANDIDAT;CODE EPREUVE;CODE MATIERE
2012;ES;0116899360;209; 
2012;ES;0116899373;205; 
2012;ES;0116899373;206; 
2012;ES;0116899399;204; 
2012;ES;0116899399;209; 
2012;ES;0116899434;205; 
2012;ES;0116899434;206; 
2012;ES;0116899462;204; 
2012;ES;0116899462;206; 
2012;ES;0116899491;204; 
2012;ES;0116899491;206; 
2012;ES;0116899675;204; 
2012;ES;0116899675;205; 
2012;ES;0116900077;204; 
2012;ES;0116900077;206; 
2012;ES;0116900101;204; 
2012;ES;0116900101;205; 
2012;ES;0116900294;204; 
2012;ES;0116900294;206; 
2012;ES;0116900313;206; 
2012;ES;0116900313;207;0002
2012;ES;0116900314;206; 
2012;ES;0116900314;207;0002
2012;ES;0116900316;204; 
2012;ES;0116900316;207;0002
2012;ES;0116900490;205; 
2012;ES;0116900490;206; 
2012;ES;0116900507;204; 
2012;ES;0116900507;205; 
2012;ES;0116904983;204; 
2012;ES;0116904983;205; 
2012;ES;0116918807;204; 
2012;ES;0116918807;207;0002
2012;ES;0116919207;204; 
2012;ES;0116919207;206; 
2012;ES;0116919251;204; 
2012;ES;0116919251;205; 
2012;ES;0116919285;205; 
2012;ES;0116919285;206; 
2012;ES;0116919380;204; 
2012;ES;0116919380;206; 
2012;ES;0316020533;204; 
2012;ES;0316020533;205; 
2012;ES;0316020573;204; 
2012;ES;0316020573;205; 
2012;ES;0316023331;204; 
2012;ES;0316023331;206; 
2012;ES;0316028836;204; 
2012;ES;0316028836;206; 
2012;ES;0316028848;204; 
2012;ES;0316028848;205; 
2012;ES;0316028883;204; 
2012;ES;0316028883;206; 
2012;ES;0316054026;204; 
2012;ES;0316054026;206; 
2012;ES;0316054033;204; 
2012;ES;0316054033;205; 
2012;ES;0316054034;204; 
2012;ES;0316054034;207;0002
2012;ES;0316054035;204; 
2012;ES;0316054035;205; 
2012;ES;0316054036;206; 
2012;ES;0316054036;207;0002
2012;ES;0316054039;205; 
2012;ES;0316054039;206; 
2012;ES;0316054044;204; 
2012;ES;0316054044;206; 
2012;ES;0316054048;206; 
2012;ES;0316054048;209; 
2012;ES;0316054050;204; 
2012;ES;0316054050;209; 
2012;ES;0316054051;204; 
2012;ES;0316054051;206; 
2012;ES;0316054057;204; 
2012;ES;0316054057;206; 
2012;ES;0316054058;204; 
2012;ES;0316054058;206; 
2012;ES;0316054059;205; 
2012;ES;0316054059;206; 
2012;ES;0316054071;204; 
2012;ES;0316054071;205; 
2012;ES;0316054076;204; 
2012;ES;0316054076;206; 
2012;ES;0316054078;204; 
2012;ES;0316054078;205; 
2012;ES;0316054085;205; 
2012;ES;0316054085;206; 
2012;ES;0316054087;204; 
2012;ES;0316054087;206; 
2012;ES;0316054091;205; 
2012;ES;0316054091;206; 
2012;ES;0316054093;204; 
2012;ES;0316054093;205; 
2012;ES;0316054099;204; 
2012;ES;0316054099;206; 
2012;ES;0316054103;204; 
2012;ES;0316054103;206; 
2012;ES;0316054107;206; 
2012;ES;0316054107;209; 
2012;ES;0316054111;204; 
2012;ES;0316054111;205; 
2012;ES;0316054116;204; 
2012;ES;0316054116;206; 
2012;ES;0316054120;206; 
2012;ES;0316054120;209; 
2012;ES;0316054127;204; 
2012;ES;0316054127;206; 
2012;ES;0316054129;204; 
2012;ES;0316054129;207;0001
2012;ES;0316054131;204; 
2012;ES;0316054131;206; 
2012;ES;0316054133;204; 
2012;ES;0316054133;209; 
2012;ES;0316054136;204; 
2012;ES;0316054136;209; 
2012;ES;0316054139;204; 
2012;ES;0316054139;206; 
2012;ES;0316054140;204; 
2012;ES;0316054140;209; 
2012;ES;0316054142;205; 
2012;ES;0316054142;209; 
2012;ES;0316054143;204; 
2012;ES;0316054143;206; 
2012;ES;0316054145;206; 
2012;ES;0316054145;207;0002
2012;ES;0316054147;205; 
2012;ES;0316054147;206; 
2012;ES;0316054148;206; 
2012;ES;0316054148;209; 
2012;ES;0316054153;204; 
2012;ES;0316054153;206; 
2012;ES;0316054154;206; 
2012;ES;0316054154;209; 
2012;ES;0316054158;204; 
2012;ES;0316054158;206; 
2012;ES;0316054162;204; 
2012;ES;0316054162;206; 
2012;ES;0316054167;204; 
2012;ES;0316054167;206; 
2012;ES;0316054168;204; 
2012;ES;0316054168;206; 
2012;ES;0316054170;204; 
2012;ES;0316054170;206; 
2012;ES;0316054174;204; 
2012;ES;0316054174;207;0002
2012;ES;0316054178;204; 
2012;ES;0316054178;206; 
2012;ES;0316054183;204; 
2012;ES;0316054183;206; 
2012;ES;0316054189;205; 
2012;ES;0316054189;206; 
2012;ES;0316054198;206; 
2012;ES;0316054198;207;0002
2012;ES;0316054199;205; 
2012;ES;0316054199;206; 
2012;ES;0316054204;204; 
2012;ES;0316054204;205; 
2012;ES;0316054205;204; 
2012;ES;0316054205;206; 
2012;ES;0316054206;204; 
2012;ES;0316054206;206; 
2012;ES;0316054207;206; 
2012;ES;0316054207;209; 
2012;ES;0316054212;204; 
2012;ES;0316054212;206; 
2012;ES;0316054222;204; 
2012;ES;0316054222;206; 
2012;ES;0316054230;206; 
2012;ES;0316054230;207;0002
2012;ES;0316054231;205; 
2012;ES;0316054231;209; 
2012;ES;0316054236;204; 
2012;ES;0316054236;206; 
2012;ES;0316054253;204; 
2012;ES;0316054253;209; 
2012;ES;0316054254;204; 
2012;ES;0316054254;206; 
2012;ES;0316054260;204; 
2012;ES;0316054260;206; 
2012;ES;0316054264;204; 
2012;ES;0316054264;207;0002
2012;ES;0316054273;204; 
2012;ES;0316054273;205; 
2012;ES;0316054276;205; 
2012;ES;0316054276;206; 
2012;ES;0316054294;205; 
2012;ES;0316054294;209; 
2012;ES;0316054295;206; 
2012;ES;0316054295;207;0002
2012;ES;0316054312;204; 
2012;ES;0316054312;206; 
2012;ES;0316054316;205; 
2012;ES;0316054316;207;0002
2012;ES;0316054317;204; 
2012;ES;0316054317;209; 
2012;ES;0316054321;205; 
2012;ES;0316054321;206; 
2012;ES;0316054335;206; 
2012;ES;0316054335;207;0002
2012;ES;0316054338;204; 
2012;ES;0316054338;206; 
2012;ES;0316054344;206; 
2012;ES;0316054344;207;0001
2012;ES;0316054347;204; 
2012;ES;0316054347;205; 
2012;ES;0316054350;204; 
2012;ES;0316054350;205; 
2012;ES;0316054359;206; 
2012;ES;0316054359;209; 
2012;ES;0316054360;204; 
2012;ES;0316054360;209; 
2012;ES;0316054366;206; 
2012;ES;0316054366;209; 
2012;ES;0316054367;205; 
2012;ES;0316054367;206; 
2012;ES;0316054369;205; 
2012;ES;0316054369;206; 
2012;ES;0316054371;205; 
2012;ES;0316054371;206; 
2012;ES;0316054380;205; 
2012;ES;0316054380;206; 
2012;ES;0316054383;204; 
2012;ES;0316054383;209; 
2012;ES;0316054385;204; 
2012;ES;0316054385;209; 
2012;ES;0316054389;204; 
2012;ES;0316054389;206; 
2012;ES;0316054390;205; 
2012;ES;0316054390;206; 
2012;ES;0316054397;204; 
2012;ES;0316054397;206; 
2012;ES;0316054407;206; 
2012;ES;0316054407;209; 
2012;ES;0316054409;206; 
2012;ES;0316054409;209; 
2012;ES;0316054413;207;0002
2012;ES;0316054413;209; 
2012;ES;0316054417;204; 
2012;ES;0316054417;206; 
2012;ES;0316054420;204; 
2012;ES;0316054420;209; 
2012;ES;0316054422;204; 
2012;ES;0316054422;209; 
2012;ES;0316054429;204; 
2012;ES;0316054429;206; 
2012;ES;0316054432;204; 
2012;ES;0316054432;206; 
2012;ES;0316054434;204; 
2012;ES;0316054434;206; 
2012;ES;0316054436;204; 
2012;ES;0316054436;207;0002
2012;ES;0316054453;204; 
2012;ES;0316054453;206; 
2012;ES;0316054480;205; 
2012;ES;0316054480;206; 
2012;ES;0316054482;206; 
2012;ES;0316054482;207;0002
2012;ES;0316054488;204; 
2012;ES;0316054488;206; 
2012;ES;0316054494;204; 
2012;ES;0316054494;209; 
2012;ES;0316054507;204; 
2012;ES;0316054507;206; 
2012;ES;0316054513;204; 
2012;ES;0316054513;205; 
2012;ES;0316054524;204; 
2012;ES;0316054524;206; 
2012;ES;0316054538;206; 
2012;ES;0316054538;209; 
2012;ES;0316054549;204; 
2012;ES;0316054549;209; 
2012;ES;0316054563;204; 
2012;ES;0316054563;209; 
2012;ES;0316054566;204; 
2012;ES;0316054566;207;0002
2012;ES;0316054569;204; 
2012;ES;0316054569;206; 
2012;ES;0316054574;204; 
2012;ES;0316054574;206; 
2012;ES;0316054578;204; 
2012;ES;0316054578;209; 
2012;ES;0316054580;205; 
2012;ES;0316054580;207;0002
2012;ES;0316054584;204; 
2012;ES;0316054584;206; 
2012;ES;0316054587;205; 
2012;ES;0316054587;206; 
2012;ES;0316054589;205; 
2012;ES;0316054589;206; 
2012;ES;0316054591;206; 
2012;ES;0316054591;209; 
2012;ES;0316054604;204; 
2012;ES;0316054604;206; 
2012;ES;0316054607;206; 
2012;ES;0316054607;209; 
2012;ES;0316054621;204; 
2012;ES;0316054621;207;0002
2012;ES;0316054624;204; 
2012;ES;0316054624;207;0002
2012;ES;0316054628;204; 
2012;ES;0316054628;206; 
2012;ES;0316054641;205; 
2012;ES;0316054641;206; 
2012;ES;0316054644;204; 
2012;ES;0316054644;206; 
2012;ES;0316054661;204; 
2012;ES;0316054661;206; 
2012;ES;0316054664;204; 
2012;ES;0316054664;206; 
2012;ES;0316054666;206; 
2012;ES;0316054666;209; 
2012;ES;0316054697;205; 
2012;ES;0316054697;206; 
2012;ES;0316054700;204; 
2012;ES;0316054700;206; 
2012;ES;0316054707;204; 
2012;ES;0316054707;205; 
2012;ES;0316054714;204; 
2012;ES;0316054714;209; 
2012;ES;0316054725;204; 
2012;ES;0316054725;207;0002
2012;ES;0316054767;204; 
2012;ES;0316054767;206; 
2012;ES;0316054769;204; 
2012;ES;0316054769;206; 
2012;ES;0316054774;204; 
2012;ES;0316054774;206; 
2012;ES;0316054779;204; 
2012;ES;0316054779;206; 
2012;ES;0316054788;205; 
2012;ES;0316054788;206; 
2012;ES;0316054803;204; 
2012;ES;0316054803;206; 
2012;ES;0316054807;204; 
2012;ES;0316054807;206; 
2012;ES;0316054816;206; 
2012;ES;0316054816;207;0002
2012;ES;0316054818;206; 
2012;ES;0316054818;209; 
2012;ES;0316054819;204; 
2012;ES;0316054819;209; 
2012;ES;0316054824;205; 
2012;ES;0316054824;206; 
2012;ES;0316054829;204; 
2012;ES;0316054829;205; 
2012;ES;0316054830;205; 
2012;ES;0316054830;206; 
2012;ES;0316054832;206; 
2012;ES;0316054832;209; 
2012;ES;0316054840;204; 
2012;ES;0316054840;205; 
2012;ES;0316054843;204; 
2012;ES;0316054843;209; 
2012;ES;0316054847;204; 
2012;ES;0316054847;209; 
2012;ES;0316054866;204; 
2012;ES;0316054866;206; 
2012;ES;0316054869;204; 
2012;ES;0316054869;206; 
2012;ES;0316054870;206; 
2012;ES;0316054870;209; 
2012;ES;0316054884;204; 
2012;ES;0316054884;206; 
2012;ES;0316054892;204; 
2012;ES;0316054892;205; 
2012;ES;0316054893;205; 
2012;ES;0316054893;206; 
2012;ES;0316054899;204; 
2012;ES;0316054899;206; 
2012;ES;0316054903;206; 
2012;ES;0316054903;207;0001
2012;ES;0316054911;204; 
2012;ES;0316054911;209; 
2012;ES;0316054912;206; 
2012;ES;0316054912;209; 
2012;ES;0316054914;204; 
2012;ES;0316054914;206; 
2012;ES;0316054915;204; 
2012;ES;0316054915;206; 
2012;ES;0316054917;206; 
2012;ES;0316054917;207;0002
2012;ES;0316054918;206; 
2012;ES;0316054918;207;0002
2012;ES;0316054960;205; 
2012;ES;0316054960;206; 
2012;ES;0316054966;204; 
2012;ES;0316054966;206; 
2012;ES;0316054972;204; 
2012;ES;0316054972;206; 
2012;ES;0316054979;204; 
2012;ES;0316054979;209; 
2012;ES;0316054989;204; 
2012;ES;0316054989;206; 
2012;ES;0316054991;204; 
2012;ES;0316054991;209; 
2012;ES;0316055005;204; 
2012;ES;0316055005;206; 
2012;ES;0316055006;204; 
2012;ES;0316055006;206; 
2012;ES;0316055024;204; 
2012;ES;0316055024;206; 
2012;ES;0316055032;204; 
2012;ES;0316055032;206; 
2012;ES;0316055035;204; 
2012;ES;0316055035;205; 
2012;ES;0316055038;204; 
2012;ES;0316055038;205; 
2012;ES;0316055049;204; 
2012;ES;0316055049;205; 
2012;ES;0316055050;204; 
2012;ES;0316055050;206; 
2012;ES;0316055052;206; 
2012;ES;0316055052;209; 
2012;ES;0316055057;204; 
2012;ES;0316055057;206; 
2012;ES;0316055058;204; 
2012;ES;0316055058;206; 
2012;ES;0316055061;204; 
2012;ES;0316055061;206; 
2012;ES;0316055064;204; 
2012;ES;0316055064;206; 
2012;ES;0316055073;204; 
2012;ES;0316055073;209; 
2012;ES;0316055074;204; 
2012;ES;0316055074;206; 
2012;ES;0316055075;204; 
2012;ES;0316055075;207;0002
2012;ES;0316055081;205; 
2012;ES;0316055081;206; 
2012;ES;0316055085;204; 
2012;ES;0316055085;209; 
2012;ES;0316055096;205; 
2012;ES;0316055096;206; 
2012;ES;0316055098;205; 
2012;ES;0316055098;206; 
2012;ES;0316055118;204; 
2012;ES;0316055118;206; 
2012;ES;0316055126;205; 
2012;ES;0316055126;206; 
2012;ES;0316055138;204; 
2012;ES;0316055138;206; 
2012;ES;0316055151;204; 
2012;ES;0316055151;207;0002
2012;ES;0316055170;204; 
2012;ES;0316055170;206; 
2012;ES;0316055187;204; 
2012;ES;0316055187;207;0002
2012;ES;0316055193;205; 
2012;ES;0316055193;206; 
2012;ES;0316055201;204; 
2012;ES;0316055201;206; 
2012;ES;0316055218;205; 
2012;ES;0316055218;206; 
2012;ES;0316055227;204; 
2012;ES;0316055227;206; 
2012;ES;0316055232;205; 
2012;ES;0316055232;209; 
2012;ES;0316055234;205; 
2012;ES;0316055234;209; 
2012;ES;0316055237;204; 
2012;ES;0316055237;206; 
2012;ES;0316055240;205; 
2012;ES;0316055240;207;0001
2012;ES;0316055244;206; 
2012;ES;0316055244;207;0002
2012;ES;0316055252;204; 
2012;ES;0316055252;206; 
2012;ES;0316055263;205; 
2012;ES;0316055263;206; 
2012;ES;0316055269;205; 
2012;ES;0316055269;209; 
2012;ES;0316055282;204; 
2012;ES;0316055282;205; 
2012;ES;0316055291;205; 
2012;ES;0316055291;206; 
2012;ES;0316055298;204; 
2012;ES;0316055298;206; 
2012;ES;0316055299;204; 
2012;ES;0316055299;207;0002
2012;ES;0316055303;206; 
2012;ES;0316055303;207;0002
2012;ES;0316055312;204; 
2012;ES;0316055312;205; 
2012;ES;0316055320;204; 
2012;ES;0316055320;206; 
2012;ES;0316055322;204; 
2012;ES;0316055322;205; 
2012;ES;0316055332;204; 
2012;ES;0316055332;205; 
2012;ES;0316055339;205; 
2012;ES;0316055339;207;0002
2012;ES;0316055354;205; 
2012;ES;0316055354;206; 
2012;ES;0316055356;204; 
2012;ES;0316055356;205; 
2012;ES;0316055357;204; 
2012;ES;0316055357;206; 
2012;ES;0316055360;204; 
2012;ES;0316055360;205; 
2012;ES;0316055370;204; 
2012;ES;0316055370;205; 
2012;ES;0316055375;204; 
2012;ES;0316055375;206; 
2012;ES;0316055376;204; 
2012;ES;0316055376;209; 
2012;ES;0316055397;205; 
2012;ES;0316055397;206; 
2012;ES;0316055398;204; 
2012;ES;0316055398;206; 
2012;ES;0316055410;204; 
2012;ES;0316055410;206; 
2012;ES;0316055414;204; 
2012;ES;0316055414;206; 
2012;ES;0316055424;204; 
2012;ES;0316055424;206; 
2012;ES;0316055448;204; 
2012;ES;0316055448;207;0002
2012;ES;0316055474;204; 
2012;ES;0316055474;209; 
2012;ES;0316055479;204; 
2012;ES;0316055479;205; 
2012;ES;0316055480;204; 
2012;ES;0316055480;207;0001
2012;ES;0316055483;204; 
2012;ES;0316055483;205; 
2012;ES;0316055484;205; 
2012;ES;0316055484;209; 
2012;ES;0316055489;204; 
2012;ES;0316055489;206; 
2012;ES;0316055503;204; 
2012;ES;0316055503;209; 
2012;ES;0316055517;206; 
2012;ES;0316055517;209; 
2012;ES;0316055521;206; 
2012;ES;0316055521;209; 
2012;ES;0316055525;204; 
2012;ES;0316055525;206; 
2012;ES;0316055530;204; 
2012;ES;0316055530;209; 
2012;ES;0316055547;204; 
2012;ES;0316055547;206; 
2012;ES;0316055559;205; 
2012;ES;0316055559;206; 
2012;ES;0316055566;204; 
2012;ES;0316055566;209; 
2012;ES;0316055575;204; 
2012;ES;0316055575;206; 
2012;ES;0316055579;204; 
2012;ES;0316055579;206; 
2012;ES;0316055601;206; 
2012;ES;0316055601;209; 
2012;ES;0316055604;204; 
2012;ES;0316055604;206; 
2012;ES;0316055606;206; 
2012;ES;0316055606;209; 
2012;ES;0316055607;206; 
2012;ES;0316055607;207;0002
2012;ES;0316055610;204; 
2012;ES;0316055610;209; 
2012;ES;0316055623;205; 
2012;ES;0316055623;206; 
2012;ES;0316055641;206; 
2012;ES;0316055641;207;0002
2012;ES;0316055645;204; 
2012;ES;0316055645;206; 
2012;ES;0316055646;204; 
2012;ES;0316055646;205; 
2012;ES;0316055658;206; 
2012;ES;0316055658;207;0002
2012;ES;0316055664;206; 
2012;ES;0316055664;207;0002
2012;ES;0316055669;205; 
2012;ES;0316055669;206; 
2012;ES;0316055683;204; 
2012;ES;0316055683;206; 
2012;ES;0316055694;204; 
2012;ES;0316055694;205; 
2012;ES;0316055696;204; 
2012;ES;0316055696;206; 
2012;ES;0316055706;205; 
2012;ES;0316055706;206; 
2012;ES;0316055708;207;0002
2012;ES;0316055708;209; 
2012;ES;0316055713;205; 
2012;ES;0316055713;206; 
2012;ES;0316055716;205; 
2012;ES;0316055716;209; 
2012;ES;0316055722;206; 
2012;ES;0316055722;207;0001
2012;ES;0316055734;204; 
2012;ES;0316055734;209; 
2012;ES;0316055737;204; 
2012;ES;0316055737;206; 
2012;ES;0316055740;204; 
2012;ES;0316055740;207;0002
2012;ES;0316055744;204; 
2012;ES;0316055744;206; 
2012;ES;0316055745;205; 
2012;ES;0316055745;206; 
2012;ES;0316055757;204; 
2012;ES;0316055757;206; 
2012;ES;0316055780;204; 
2012;ES;0316055780;209; 
2012;ES;0316055784;204; 
2012;ES;0316055784;209; 
2012;ES;0316055789;205; 
2012;ES;0316055789;207;0002
2012;ES;0316055797;204; 
2012;ES;0316055797;209; 
2012;ES;0316055806;205; 
2012;ES;0316055806;209; 
2012;ES;0316055807;204; 
2012;ES;0316055807;206; 
2012;ES;0316055813;205; 
2012;ES;0316055813;206; 
2012;ES;0316055827;205; 
2012;ES;0316055827;206; 
2012;ES;0316055828;204; 
2012;ES;0316055828;206; 
2012;ES;0316055840;206; 
2012;ES;0316055840;209; 
2012;ES;0316055846;206; 
2012;ES;0316055846;209; 
2012;ES;0316055847;204; 
2012;ES;0316055847;206; 
2012;ES;0316055849;204; 
2012;ES;0316055849;205; 
2012;ES;0316055853;204; 
2012;ES;0316055853;206; 
2012;ES;0316055876;206; 
2012;ES;0316055876;209; 
2012;ES;0316055879;204; 
2012;ES;0316055879;206; 
2012;ES;0316055884;204; 
2012;ES;0316055884;207;0002
2012;ES;0316055901;204; 
2012;ES;0316055901;207;0002
2012;ES;0316055903;204; 
2012;ES;0316055903;206; 
2012;ES;0316055904;204; 
2012;ES;0316055904;209; 
2012;ES;0316055920;206; 
2012;ES;0316055920;209; 
2012;ES;0316055938;204; 
2012;ES;0316055938;206; 
2012;ES;0316055942;204; 
2012;ES;0316055942;206; 
2012;ES;0316055943;204; 
